num of agents,sum of costs,weights,runtime,cost lowerbound,sum of distances,MAPF algorithm
200,38328,,0.158525,35485,35485,PP
8,38243,"",0.172844,35485,35485,PP
8,38243,"",0.183452,35485,35485,PP
8,38243,"",0.194361,35485,35485,PP
8,38227,"",0.211902,35485,35485,PP
8,38227,"",0.233164,35485,35485,PP
9,38224,"",0.244317,35485,35485,PP
8,38224,"",0.257748,35485,35485,PP
8,38198,"",0.268566,35485,35485,PP
8,38184,"",0.280082,35485,35485,PP
8,38184,"",0.306596,35485,35485,PP
7,38091,"",0.319085,35485,35485,PP
8,38014,"",0.335921,35485,35485,PP
8,38014,"",0.358924,35485,35485,PP
8,38014,"",0.377146,35485,35485,PP
3,38014,"",0.384178,35485,35485,PP
8,38014,"",0.399847,35485,35485,PP
3,37984,"",0.404805,35485,35485,PP
2,37923,"",0.409269,35485,35485,PP
4,37923,"",0.4225,35485,35485,PP
9,37923,"",0.437258,35485,35485,PP
8,37922,"",0.455583,35485,35485,PP
2,37922,"",0.461788,35485,35485,PP
8,37708,"",0.477249,35485,35485,PP
4,37708,"",0.489211,35485,35485,PP
8,37691,"",0.502778,35485,35485,PP
8,37691,"",0.515035,35485,35485,PP
3,37662,"",0.519626,35485,35485,PP
5,37441,"",0.534235,35485,35485,PP
3,37441,"",0.542588,35485,35485,PP
4,37425,"",0.551049,35485,35485,PP
4,37420,"",0.557761,35485,35485,PP
4,37420,"",0.564637,35485,35485,PP
3,37408,"",0.574312,35485,35485,PP
3,37407,"",0.580063,35485,35485,PP
8,37318,"",0.59794,35485,35485,PP
3,37318,"",0.603107,35485,35485,PP
2,37317,"",0.610534,35485,35485,PP
8,37317,"",0.626793,35485,35485,PP
4,37291,"",0.633639,35485,35485,PP
5,37290,"",0.651982,35485,35485,PP
3,37288,"",0.658669,35485,35485,PP
6,37288,"",0.674747,35485,35485,PP
2,37288,"",0.687716,35485,35485,PP
8,37288,"",0.707851,35485,35485,PP
8,37288,"",0.727608,35485,35485,PP
8,37288,"",0.742479,35485,35485,PP
3,37288,"",0.748329,35485,35485,PP
3,37288,"",0.758893,35485,35485,PP
8,37284,"",0.775336,35485,35485,PP
9,37282,"",0.791397,35485,35485,PP
6,37282,"",0.814194,35485,35485,PP
3,37282,"",0.820461,35485,35485,PP
8,37282,"",0.835051,35485,35485,PP
2,37282,"",0.839092,35485,35485,PP
7,37282,"",0.857465,35485,35485,PP
4,37273,"",0.863789,35485,35485,PP
3,37029,"",0.869045,35485,35485,PP
4,37029,"",0.882786,35485,35485,PP
3,37007,"",0.88865,35485,35485,PP
7,36983,"",0.900782,35485,35485,PP
3,36980,"",0.909948,35485,35485,PP
5,36980,"",0.924006,35485,35485,PP
8,36965,"",0.940407,35485,35485,PP
4,36965,"",0.946533,35485,35485,PP
3,36965,"",0.959613,35485,35485,PP
6,36965,"",0.969688,35485,35485,PP
4,36965,"",0.977938,35485,35485,PP
8,36964,"",0.997406,35485,35485,PP
8,36954,"",1.01143,35485,35485,PP
7,36938,"",1.02368,35485,35485,PP
2,36938,"",1.02772,35485,35485,PP
7,36938,"",1.03664,35485,35485,PP
6,36938,"",1.04744,35485,35485,PP
5,36938,"",1.06272,35485,35485,PP
3,36938,"",1.08083,35485,35485,PP
3,36938,"",1.09899,35485,35485,PP
6,36938,"",1.11295,35485,35485,PP
6,36938,"",1.12357,35485,35485,PP
4,36938,"",1.1347,35485,35485,PP
5,36938,"",1.15567,35485,35485,PP
5,36938,"",1.17231,35485,35485,PP
5,36936,"",1.18805,35485,35485,PP
5,36936,"",1.19931,35485,35485,PP
3,36935,"",1.20736,35485,35485,PP
