num_agents,scenario,algorithm,soc,sod,solved
200,10,DyMAB-aUCB,36942,16,1
200,10,DyMAB-eGreedy,36944,18,1
200,10,MAPF-LNS2,37025,99,1
200,10,MAPF-LNS,0,0,0
200,10,BALANCE-UCB1,37054,128,0
200,10,BALANCE-Thompson,37054,128,0
200,11,DyMAB-aUCB,35335,18,1
200,11,DyMAB-eGreedy,35335,18,1
200,11,MAPF-LNS2,35338,21,1
200,11,MAPF-LNS,0,0,0
200,11,BALANCE-UCB1,35458,141,0
200,11,BALANCE-Thompson,35368,51,1
200,12,DyMAB-aUCB,36300,14,1
200,12,DyMAB-eGreedy,36301,15,1
200,12,MAPF-LNS2,36384,98,1
200,12,MAPF-LNS,0,0,0
200,12,BALANCE-UCB1,36308,22,1
200,12,BALANCE-Thompson,36306,20,0
200,13,DyMAB-aUCB,35639,23,1
200,13,DyMAB-eGreedy,35641,25,1
200,13,MAPF-LNS2,35639,23,1
200,13,MAPF-LNS,0,0,0
200,13,BALANCE-UCB1,35672,56,0
200,13,BALANCE-Thompson,35672,56,0
200,14,DyMAB-aUCB,36485,20,1
200,14,DyMAB-eGreedy,36485,20,1
200,14,MAPF-LNS2,36485,20,1
200,14,MAPF-LNS,0,0,0
200,14,BALANCE-UCB1,36536,71,0
200,14,BALANCE-Thompson,36490,25,0
200,15,DyMAB-aUCB,36927,133,1
200,15,DyMAB-eGreedy,36828,34,1
200,15,MAPF-LNS2,36828,34,1
200,15,MAPF-LNS,0,0,0
200,15,BALANCE-UCB1,36981,187,0
200,15,BALANCE-Thompson,36975,181,0
200,16,DyMAB-aUCB,34741,17,1
200,16,DyMAB-eGreedy,34743,19,1
200,16,MAPF-LNS2,34799,75,1
200,16,MAPF-LNS,0,0,0
200,16,BALANCE-UCB1,34798,74,0
200,16,BALANCE-Thompson,34793,69,0
200,17,DyMAB-aUCB,35584,17,1
200,17,DyMAB-eGreedy,35584,17,1
200,17,MAPF-LNS2,35585,18,1
200,17,MAPF-LNS,0,0,0
200,17,BALANCE-UCB1,35682,115,0
200,17,BALANCE-Thompson,35680,113,0
200,18,DyMAB-aUCB,36536,20,1
200,18,DyMAB-eGreedy,36535,19,1
200,18,MAPF-LNS2,36537,21,1
200,18,MAPF-LNS,0,0,0
200,18,BALANCE-UCB1,36764,248,0
200,18,BALANCE-Thompson,36674,158,0
200,19,DyMAB-aUCB,35198,145,1
200,19,DyMAB-eGreedy,35061,8,1
200,19,MAPF-LNS2,35421,368,1
200,19,MAPF-LNS,0,0,0
200,19,BALANCE-UCB1,35131,78,0
200,19,BALANCE-Thompson,35121,68,1
200,1,DyMAB-aUCB,35383,92,1
200,1,DyMAB-eGreedy,35313,22,1
200,1,MAPF-LNS2,35385,94,1
200,1,MAPF-LNS,0,0,0
200,1,BALANCE-UCB1,35364,73,0
200,1,BALANCE-Thompson,35360,69,0
200,20,DyMAB-aUCB,37791,154,1
200,20,DyMAB-eGreedy,37679,42,1
200,20,MAPF-LNS2,37678,41,1
200,20,MAPF-LNS,0,0,0
200,20,BALANCE-UCB1,37842,205,0
200,20,BALANCE-Thompson,37720,83,0
200,21,DyMAB-aUCB,37194,81,1
200,21,DyMAB-eGreedy,37151,38,1
200,21,MAPF-LNS2,37424,311,1
200,21,MAPF-LNS,0,0,0
200,21,BALANCE-UCB1,37300,187,0
200,21,BALANCE-Thompson,37292,179,0
200,22,DyMAB-aUCB,0,0,0
200,22,DyMAB-eGreedy,0,0,0
200,22,MAPF-LNS2,36044,124,1
200,22,MAPF-LNS,0,0,0
200,22,BALANCE-UCB1,36064,144,0
200,22,BALANCE-Thompson,36140,220,0
200,23,DyMAB-aUCB,37274,32,1
200,23,DyMAB-eGreedy,37273,31,1
200,23,MAPF-LNS2,37310,68,1
200,23,MAPF-LNS,0,0,0
200,23,BALANCE-UCB1,37310,68,0
200,23,BALANCE-Thompson,37301,59,0
200,24,DyMAB-aUCB,36685,279,1
200,24,DyMAB-eGreedy,36434,28,1
200,24,MAPF-LNS2,36525,119,1
200,24,MAPF-LNS,0,0,0
200,24,BALANCE-UCB1,36472,66,0
200,24,BALANCE-Thompson,36472,66,0
200,25,DyMAB-aUCB,34826,25,1
200,25,DyMAB-eGreedy,34826,25,1
200,25,MAPF-LNS2,34979,178,1
200,25,MAPF-LNS,0,0,0
200,25,BALANCE-UCB1,34932,131,0
200,25,BALANCE-Thompson,34932,131,0
200,2,DyMAB-aUCB,36460,47,1
200,2,DyMAB-eGreedy,36440,27,1
200,2,MAPF-LNS2,36471,58,1
200,2,MAPF-LNS,0,0,0
200,2,BALANCE-UCB1,36599,186,0
200,2,BALANCE-Thompson,36597,184,1
200,3,DyMAB-aUCB,35214,25,1
200,3,DyMAB-eGreedy,35216,27,1
200,3,MAPF-LNS2,35214,25,1
200,3,MAPF-LNS,0,0,0
200,3,BALANCE-UCB1,35278,89,0
200,3,BALANCE-Thompson,35285,96,1
200,4,DyMAB-aUCB,35585,14,1
200,4,DyMAB-eGreedy,35588,17,1
200,4,MAPF-LNS2,35722,151,1
200,4,MAPF-LNS,0,0,0
200,4,BALANCE-UCB1,35641,70,0
200,4,BALANCE-Thompson,35633,62,0
200,5,DyMAB-aUCB,37334,40,1
200,5,DyMAB-eGreedy,37338,44,1
200,5,MAPF-LNS2,37388,94,1
200,5,MAPF-LNS,0,0,0
200,5,BALANCE-UCB1,37453,159,0
200,5,BALANCE-Thompson,37429,135,0
200,6,DyMAB-aUCB,35530,22,1
200,6,DyMAB-eGreedy,35531,23,1
200,6,MAPF-LNS2,35547,39,1
200,6,MAPF-LNS,0,0,0
200,6,BALANCE-UCB1,35534,26,0
200,6,BALANCE-Thompson,35534,26,0
200,7,DyMAB-aUCB,33165,29,1
200,7,DyMAB-eGreedy,33166,30,1
200,7,MAPF-LNS2,33333,197,1
200,7,MAPF-LNS,0,0,0
200,7,BALANCE-UCB1,33380,244,0
200,7,BALANCE-Thompson,33291,155,0
200,8,DyMAB-aUCB,38660,171,1
200,8,DyMAB-eGreedy,38506,17,1
200,8,MAPF-LNS2,38898,409,1
200,8,MAPF-LNS,0,0,0
200,8,BALANCE-UCB1,38727,238,0
200,8,BALANCE-Thompson,38766,277,2
200,9,DyMAB-aUCB,38032,15,1
200,9,DyMAB-eGreedy,38032,15,1
200,9,MAPF-LNS2,38031,14,1
200,9,MAPF-LNS,0,0,0
200,9,BALANCE-UCB1,38212,195,0
200,9,BALANCE-Thompson,38116,99,0
500,10,DyMAB-aUCB,93512,132,1
500,10,DyMAB-eGreedy,93769,389,1
500,10,MAPF-LNS2,93519,139,1
500,10,MAPF-LNS,0,0,0
500,10,BALANCE-UCB1,95935,2555,0
500,10,BALANCE-Thompson,95001,1621,0
500,11,DyMAB-aUCB,91055,147,1
500,11,DyMAB-eGreedy,91640,732,1
500,11,MAPF-LNS2,91046,138,1
500,11,MAPF-LNS,0,0,0
500,11,BALANCE-UCB1,92259,1351,0
500,11,BALANCE-Thompson,92144,1236,0
500,12,DyMAB-aUCB,91438,202,1
500,12,DyMAB-eGreedy,92250,1014,1
500,12,MAPF-LNS2,91405,169,1
500,12,MAPF-LNS,0,0,0
500,12,BALANCE-UCB1,93148,1912,0
500,12,BALANCE-Thompson,93113,1877,1
500,13,DyMAB-aUCB,88766,143,1
500,13,DyMAB-eGreedy,89347,724,1
500,13,MAPF-LNS2,88766,143,1
500,13,MAPF-LNS,0,0,0
500,13,BALANCE-UCB1,90669,2046,0
500,13,BALANCE-Thompson,90738,2115,0
500,14,DyMAB-aUCB,90034,107,1
500,14,DyMAB-eGreedy,90351,424,1
500,14,MAPF-LNS2,90044,117,1
500,14,MAPF-LNS,0,0,0
500,14,BALANCE-UCB1,92081,2154,0
500,14,BALANCE-Thompson,91830,1903,0
500,15,DyMAB-aUCB,90108,137,1
500,15,DyMAB-eGreedy,90600,629,1
500,15,MAPF-LNS2,90100,129,1
500,15,MAPF-LNS,0,0,0
500,15,BALANCE-UCB1,91623,1652,0
500,15,BALANCE-Thompson,91544,1573,0
500,16,DyMAB-aUCB,87095,111,1
500,16,DyMAB-eGreedy,87188,204,1
500,16,MAPF-LNS2,87090,106,1
500,16,MAPF-LNS,0,0,0
500,16,BALANCE-UCB1,88793,1809,0
500,16,BALANCE-Thompson,88764,1780,0
500,17,DyMAB-aUCB,92032,146,1
500,17,DyMAB-eGreedy,92867,981,1
500,17,MAPF-LNS2,92033,147,1
500,17,MAPF-LNS,0,0,0
500,17,BALANCE-UCB1,94509,2623,0
500,17,BALANCE-Thompson,94317,2431,0
500,18,DyMAB-aUCB,89816,119,1
500,18,DyMAB-eGreedy,89948,251,1
500,18,MAPF-LNS2,89815,118,1
500,18,MAPF-LNS,0,0,0
500,18,BALANCE-UCB1,91472,1775,0
500,18,BALANCE-Thompson,91552,1855,0
500,19,DyMAB-aUCB,88804,103,1
500,19,DyMAB-eGreedy,89102,401,1
500,19,MAPF-LNS2,88868,167,1
500,19,MAPF-LNS,0,0,0
500,19,BALANCE-UCB1,90305,1604,0
500,19,BALANCE-Thompson,90343,1642,0
500,1,DyMAB-aUCB,88513,159,1
500,1,DyMAB-eGreedy,88783,429,1
500,1,MAPF-LNS2,88494,140,1
500,1,MAPF-LNS,0,0,0
500,1,BALANCE-UCB1,90390,2036,0
500,1,BALANCE-Thompson,90154,1800,0
500,20,DyMAB-aUCB,93518,193,1
500,20,DyMAB-eGreedy,93781,456,1
500,20,MAPF-LNS2,93521,196,1
500,20,MAPF-LNS,0,0,0
500,20,BALANCE-UCB1,94841,1516,0
500,20,BALANCE-Thompson,94828,1503,0
500,21,DyMAB-aUCB,92255,161,1
500,21,DyMAB-eGreedy,93026,932,1
500,21,MAPF-LNS2,92251,157,1
500,21,MAPF-LNS,0,0,0
500,21,BALANCE-UCB1,94328,2234,0
500,21,BALANCE-Thompson,94507,2413,0
500,22,DyMAB-aUCB,90031,469,1
500,22,DyMAB-eGreedy,90414,852,1
500,22,MAPF-LNS2,90020,458,1
500,22,MAPF-LNS,0,0,0
500,22,BALANCE-UCB1,92388,2826,0
500,22,BALANCE-Thompson,92067,2505,0
500,23,DyMAB-aUCB,89778,144,1
500,23,DyMAB-eGreedy,90110,476,1
500,23,MAPF-LNS2,89829,195,1
500,23,MAPF-LNS,0,0,0
500,23,BALANCE-UCB1,91845,2211,0
500,23,BALANCE-Thompson,91969,2335,0
500,24,DyMAB-aUCB,88810,159,1
500,24,DyMAB-eGreedy,89203,552,1
500,24,MAPF-LNS2,88803,152,1
500,24,MAPF-LNS,0,0,0
500,24,BALANCE-UCB1,90560,1909,0
500,24,BALANCE-Thompson,90741,2090,0
500,25,DyMAB-aUCB,91330,119,1
500,25,DyMAB-eGreedy,91991,780,1
500,25,MAPF-LNS2,91375,164,1
500,25,MAPF-LNS,0,0,0
500,25,BALANCE-UCB1,93017,1806,0
500,25,BALANCE-Thompson,93032,1821,0
500,2,DyMAB-aUCB,91204,151,1
500,2,DyMAB-eGreedy,92252,1199,1
500,2,MAPF-LNS2,91197,144,1
500,2,MAPF-LNS,0,0,0
500,2,BALANCE-UCB1,93235,2182,0
500,2,BALANCE-Thompson,93375,2322,0
500,3,DyMAB-aUCB,90321,163,1
500,3,DyMAB-eGreedy,91807,1649,1
500,3,MAPF-LNS2,90491,333,1
500,3,MAPF-LNS,0,0,0
500,3,BALANCE-UCB1,92670,2512,0
500,3,BALANCE-Thompson,92808,2650,0
500,4,DyMAB-aUCB,88687,115,1
500,4,DyMAB-eGreedy,88890,318,1
500,4,MAPF-LNS2,88688,116,1
500,4,MAPF-LNS,0,0,0
500,4,BALANCE-UCB1,89921,1349,0
500,4,BALANCE-Thompson,89650,1078,0
500,5,DyMAB-aUCB,90838,164,1
500,5,DyMAB-eGreedy,91099,425,1
500,5,MAPF-LNS2,90961,287,1
500,5,MAPF-LNS,0,0,0
500,5,BALANCE-UCB1,92517,1843,0
500,5,BALANCE-Thompson,92643,1969,0
500,6,DyMAB-aUCB,90433,404,1
500,6,DyMAB-eGreedy,91034,1005,1
500,6,MAPF-LNS2,90437,408,1
500,6,MAPF-LNS,0,0,0
500,6,BALANCE-UCB1,92528,2499,0
500,6,BALANCE-Thompson,92389,2360,0
500,7,DyMAB-aUCB,85341,142,1
500,7,DyMAB-eGreedy,85675,476,1
500,7,MAPF-LNS2,85339,140,1
500,7,MAPF-LNS,0,0,0
500,7,BALANCE-UCB1,87530,2331,0
500,7,BALANCE-Thompson,87117,1918,0
500,8,DyMAB-aUCB,93028,117,1
500,8,DyMAB-eGreedy,93302,391,1
500,8,MAPF-LNS2,93033,122,1
500,8,MAPF-LNS,0,0,0
500,8,BALANCE-UCB1,94489,1578,0
500,8,BALANCE-Thompson,94318,1407,0
500,9,DyMAB-aUCB,88986,94,1
500,9,DyMAB-eGreedy,89216,324,1
500,9,MAPF-LNS2,88996,104,1
500,9,MAPF-LNS,0,0,0
500,9,BALANCE-UCB1,90799,1907,0
500,9,BALANCE-Thompson,90380,1488,0
800,10,DyMAB-aUCB,146025,766,1
800,10,DyMAB-eGreedy,149837,4578,1
800,10,MAPF-LNS2,146191,932,1
800,10,MAPF-LNS,0,0,0
800,10,BALANCE-UCB1,154580,9321,0
800,10,BALANCE-Thompson,154029,8770,0
800,11,DyMAB-aUCB,146284,1089,1
800,11,DyMAB-eGreedy,150381,5186,1
800,11,MAPF-LNS2,146175,980,1
800,11,MAPF-LNS,0,0,0
800,11,BALANCE-UCB1,154889,9694,0
800,11,BALANCE-Thompson,154761,9566,0
800,12,DyMAB-aUCB,147543,1336,1
800,12,DyMAB-eGreedy,150317,4110,1
800,12,MAPF-LNS2,147120,913,1
800,12,MAPF-LNS,0,0,0
800,12,BALANCE-UCB1,154413,8206,0
800,12,BALANCE-Thompson,154996,8789,0
800,13,DyMAB-aUCB,143929,999,1
800,13,DyMAB-eGreedy,146276,3346,1
800,13,MAPF-LNS2,143597,667,1
800,13,MAPF-LNS,0,0,0
800,13,BALANCE-UCB1,149702,6772,0
800,13,BALANCE-Thompson,149575,6645,0
800,14,DyMAB-aUCB,142374,792,1
800,14,DyMAB-eGreedy,145456,3874,1
800,14,MAPF-LNS2,142339,757,1
800,14,MAPF-LNS,0,0,0
800,14,BALANCE-UCB1,148728,7146,0
800,14,BALANCE-Thompson,149050,7468,0
800,15,DyMAB-aUCB,146218,876,1
800,15,DyMAB-eGreedy,149887,4545,1
800,15,MAPF-LNS2,146135,793,1
800,15,MAPF-LNS,0,0,0
800,15,BALANCE-UCB1,154414,9072,0
800,15,BALANCE-Thompson,153749,8407,0
800,16,DyMAB-aUCB,143905,394,1
800,16,DyMAB-eGreedy,147487,3976,1
800,16,MAPF-LNS2,144048,537,1
800,16,MAPF-LNS,0,0,0
800,16,BALANCE-UCB1,152265,8754,0
800,16,BALANCE-Thompson,152684,9173,0
800,17,DyMAB-aUCB,152300,1548,1
800,17,DyMAB-eGreedy,154579,3827,1
800,17,MAPF-LNS2,151996,1244,1
800,17,MAPF-LNS,0,0,0
800,17,BALANCE-UCB1,161337,10585,1
800,17,BALANCE-Thompson,158840,8088,0
800,18,DyMAB-aUCB,144378,732,1
800,18,DyMAB-eGreedy,147730,4084,1
800,18,MAPF-LNS2,144779,1133,1
800,18,MAPF-LNS,0,0,0
800,18,BALANCE-UCB1,152065,8419,0
800,18,BALANCE-Thompson,151990,8344,0
800,19,DyMAB-aUCB,140658,548,1
800,19,DyMAB-eGreedy,142738,2628,1
