runtime,solution cost,initial solution cost,min f value,root g value,iterations,group size,runtime of initial solution,area under curve,preprocessing runtime,solver name,instance name
100,16730,16737,16727,16727,89117,3.98226,0.0705682,299.935,0.648019,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-1.scen
100.005,35310,35333,35295,35291,48134,4.39983,0.300515,1926.05,1.25021,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-1.scen
100,88490,88642,88362,88354,28284,4.65067,1.44866,13877.4,3.09818,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-1.scen
100.002,142039,142472,141642,141624,17167,4.83747,3.48496,42631.1,4.93789,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-1.scen
120.912,-1,-1,178564,178564,1,-1,120.912,3.73418e+06,6.24059,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-1.scen
100,17975,17982,17970,17970,72469,4.04791,0.0610219,499.813,0.614426,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-2.scen
100,36439,36467,36417,36413,40196,4.37987,0.27751,2613.45,1.23473,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-2.scen
100.001,91205,91380,91061,91053,23080,4.81277,1.61153,15335.4,3.09622,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-2.scen
100.004,144896,145439,144516,144502,17754,4.8772,3.91334,40538.3,4.94021,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-2.scen
100,178999,179911,178399,178375,14437,4.92013,5.82625,64669.3,5.96749,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-2.scen
100,17555,17560,17546,17546,74659,4.19333,0.081713,899.406,0.639885,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-3.scen
100,35214,35242,35189,35189,48550,4.38617,0.297826,2501.26,1.24254,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-3.scen
100.001,90325,90500,90160,90158,21447,4.81833,1.55439,17315,2.99826,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-3.scen
100.01,145146,145583,144692,144680,13426,4.88365,3.69726,49719.6,4.8114,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-3.scen
100.003,182046,182818,181327,181311,11569,4.93534,5.66291,78092.4,6.01559,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-3.scen
100,18234,18239,18228,18228,44687,4.41686,0.0715369,599.703,0.601553,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-4.scen
100,35585,35597,35571,35571,49900,4.37402,0.212794,1399.3,1.20371,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-4.scen
100.003,88687,88816,88574,88572,30058,4.80507,1.06206,11847,3.00178,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-4.scen
100.001,145377,145760,145053,145041,16389,4.85459,3.36378,34224.3,4.80758,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-4.scen
100.001,182322,183051,181817,181803,14163,4.91717,5.04713,55593.4,5.9736,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-4.scen
100,19139,19142,19121,19119,36148,4.26647,0.106567,1998.61,0.627527,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-5.scen
100,37335,37359,37296,37294,32707,4.57696,0.372333,4089.18,1.19658,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-5.scen
100,90838,91013,90682,90674,24803,4.81421,1.49945,16541.4,3.0057,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-5.scen
100.008,146902,147462,146478,146458,15932,4.8916,3.6998,45187.3,4.79592,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-5.scen
100.003,183411,184336,182786,182764,13706,4.92718,5.56969,68924.7,6.0057,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-5.scen
100,17225,17234,17220,17220,71638,4.36562,0.104686,499.669,0.60686,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-6.scen
100,35529,35549,35508,35508,41596,4.5323,0.257494,2111.26,1.20037,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-6.scen
100,90270,90470,90041,90029,16598,4.86184,1.95384,24282.1,3.00319,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-6.scen
100.003,145537,146068,144956,144928,10792,4.86813,4.3778,61923,4.78442,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-6.scen
100.008,182280,183143,181458,181428,10238,4.89763,6.38535,87003.6,5.98527,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-6.scen
100,15210,15216,15204,15202,67742,4.26784,0.0836767,829.146,0.62229,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-7.scen
100.001,33166,33187,33138,33136,35312,4.43406,0.234178,3036.21,1.20243,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-7.scen
100,85339,85494,85207,85199,28275,4.76926,1.22071,14867.4,3.00037,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-7.scen
100.007,139046,139440,138662,138642,17855,4.87644,3.3037,41384.5,4.80476,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-7.scen
100.007,177141,177777,176530,176506,13649,4.90607,4.92172,66097.8,6.01234,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-7.scen
100.001,20268,20279,20262,20260,24343,4.43115,0.126003,800.733,0.617958,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-8.scen
100.001,38506,38539,38491,38489,35137,4.43297,0.392624,1696.69,1.19649,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-8.scen
100.013,93033,93193,92915,92911,25199,4.69474,1.37438,12357.1,3.01341,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-8.scen
100.003,148097,148601,147736,147724,17920,4.84419,3.70757,38523.1,4.79678,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-8.scen
100.002,182726,183553,182121,182107,13515,4.91882,5.99936,64249.3,6.0287,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-8.scen
100,19615,19616,19613,19613,53073,4.90074,0.119185,199.774,0.604795,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-9.scen
100.002,38030,38057,38017,38017,49310,4.53939,0.281872,1329.56,1.20306,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-9.scen
100,88989,89136,88894,88892,24364,4.63613,1.38198,10131.4,3.0368,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-9.scen
100,142140,142513,141828,141820,17720,4.81765,3.2599,32843.8,4.79802,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-9.scen
117.088,-1,-1,178527,178527,1,-1,117.088,3.0506e+06,6.11231,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-9.scen
100.001,18937,18941,18933,18931,39082,4.57058,0.0811285,599.538,0.638756,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-10.scen
100.001,36945,36973,36928,36926,44431,4.54531,0.234473,1932.74,1.21384,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-10.scen
100.002,93519,93713,93384,93380,24300,4.65612,1.56168,14463.8,2.9964,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-10.scen
100.002,145678,146130,145271,145259,16996,4.83248,3.91912,42641.4,4.8411,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-10.scen
100.001,181091,181832,180463,180445,15204,4.86049,5.53768,65775,5.98678,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-10.scen
100,17208,17219,17201,17201,55954,4.23425,0.0694879,700.57,0.602608,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-11.scen
100,35337,35364,35317,35317,47487,4.56217,0.212244,2001.05,1.2004,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-11.scen
100.004,91058,91189,90914,90908,19268,4.75383,1.39227,15783.9,3.00742,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-11.scen
100,145598,146000,145211,145195,14145,4.85789,3.93663,42223.5,4.84559,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-11.scen
100.002,183386,184167,182772,182752,11547,4.88117,5.74662,65115.4,6.02096,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-11.scen
100.001,19013,19018,19010,19010,50912,4.25232,0.0815883,299.993,0.621206,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-12.scen
100.002,36300,36321,36286,36286,56320,4.23491,0.296331,1413.8,1.19888,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-12.scen
100,91415,91580,91248,91236,23781,4.81144,1.64548,18558.2,3.02771,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-12.scen
100,146596,147117,146219,146207,18621,4.83566,3.64894,40527.8,4.78026,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-12.scen
100.003,182389,183161,181706,181690,13449,4.90556,5.6183,71996.2,6.02456,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-12.scen
100,17733,17739,17728,17728,49864,4.17119,0.0694034,499.852,0.602371,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-13.scen
100,35640,35670,35616,35616,48746,4.52091,0.323411,2396.5,1.19349,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-13.scen
100.001,88771,88923,88629,88623,28525,4.76732,1.36092,14833.4,3.00395,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-13.scen
100.002,143296,143717,142940,142930,17089,4.82695,3.16815,38100.8,4.84396,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-13.scen
100,177480,178204,176825,176811,14303,4.93288,5.29667,68232.2,5.99923,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-13.scen
100,18713,18723,18711,18711,76236,4.10803,0.0710453,200.132,0.599258,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-14.scen
100,36486,36515,36465,36465,51246,4.37245,0.230006,2097.28,1.20082,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-14.scen
100.002,90048,90216,89930,89927,25650,4.71282,1.28197,12641.2,3.01484,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-14.scen
100.006,141969,142488,141597,141582,17436,4.84497,3.69291,39898.2,4.81302,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-14.scen
100.002,179400,180265,178662,178635,12090,4.9052,6.28712,78389,6.02935,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-14.scen
100.001,19277,19286,19260,19260,63943,4.37195,0.0804855,1703.04,0.611975,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-15.scen
100,36829,36847,36794,36794,45772,4.48889,0.206796,3506.75,1.21963,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-15.scen
100.022,90113,90255,89973,89971,26542,4.73991,1.33031,14309.4,2.99529,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-15.scen
100.001,145790,146223,145360,145342,17649,4.92475,3.52489,45394.5,4.79422,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-15.scen
100.002,185019,185833,184320,184296,12666,4.94631,5.44735,75033.8,6.00526,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-15.scen
100,17017,17026,17013,17011,50258,4.19357,0.0860385,599.75,0.601408,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-16.scen
100.002,34747,34766,34726,34724,52790,4.31902,0.281874,2295.03,1.20381,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-16.scen
100,87102,87252,86990,86984,33136,4.65997,1.33768,11995.2,3.03101,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-16.scen
100,143823,144231,143517,143511,17999,4.78086,3.49721,31940.2,4.84372,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-16.scen
100.001,180743,181448,180271,180263,16543,4.85709,5.41983,50682.8,6.02865,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-16.scen
100.001,18194,18197,18188,18188,61529,4.1072,0.0858962,599.61,0.618011,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-17.scen
100,35585,35605,35567,35567,57121,4.35305,0.240276,1798.01,1.19923,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-17.scen
100.001,92028,92183,91888,91886,27379,4.73807,1.32577,14557.8,3.00678,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-17.scen
100,151207,151649,150762,150752,17055,4.88302,3.55582,46485.4,4.80356,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-17.scen
100,187436,188240,186763,186751,13699,4.90838,5.6881,71049,6.01637,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-17.scen
100,19309,19314,19301,19301,62822,4.34638,0.0899586,841.245,0.609237,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-18.scen
100,36538,36560,36516,36516,45463,4.55462,0.287836,2230.05,1.1957,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-18.scen
100.002,89816,89967,89697,89697,32309,4.78888,1.35841,12152.2,3.01941,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-18.scen
100.002,144035,144507,143650,143646,18858,4.7918,3.62759,40917.1,4.79741,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-18.scen
100.001,181614,182364,180990,180982,15152,4.86265,5.13589,65119.8,6.02552,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-18.scen
100,18255,18258,18254,18254,92580,4.2625,0.0616915,174.959,0.60285,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-19.scen
100,35062,35069,35055,35053,40981,4.24529,0.245613,898.038,1.20268,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-19.scen
100,88805,88951,88705,88701,26656,4.68685,1.23318,10604.2,3.01136,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-19.scen
100.001,140415,140827,140118,140110,19854,4.75173,3.05084,31365.2,4.85147,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-19.scen
100.001,178000,178745,177466,177449,14621,4.85588,4.88077,57359.9,6.03068,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-19.scen
100.001,18694,18704,18685,18683,38672,4.29774,0.0907185,1104.16,0.614062,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-20.scen
100,37676,37708,37653,37637,31669,4.3297,0.310339,3902.49,1.20953,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-20.scen
100.008,93511,93688,93349,93325,18070,4.72782,1.68379,19120.3,3.00103,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-20.scen
100,147795,148310,147380,147342,14494,4.81846,4.14093,46775.4,4.83915,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-20.scen
152.79,-1,-1,185029,185029,1,-1,152.79,9.76773e+06,6.05078,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-20.scen
100,18440,18448,18434,18434,62169,4.57634,0.0627983,600.263,0.601151,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-21.scen
100.004,37151,37177,37119,37113,42069,4.11163,0.356411,3839.57,1.21677,LNS(EECBS;PP),Berlin_1_256.map-scen-random/Berlin_1_256-random-21.scen
