num_agents,scenario,algorithm,soc,sod,solved
200,10,DyMAB-aUCB,29594,272,1
200,10,DyMAB-eGreedy,30280,958,1
200,10,MAPF-LNS2,29584,262,1
200,10,MAPF-LNS,0,0,0
200,10,BALANCE-UCB1,29840,518,0
200,10,BALANCE-Thompson,30123,801,0
200,11,DyMAB-aUCB,31963,263,1
200,11,DyMAB-eGreedy,32233,533,1
200,11,MAPF-LNS2,32048,348,1
200,11,MAPF-LNS,0,0,0
200,11,BALANCE-UCB1,32394,694,0
200,11,BALANCE-Thompson,32308,608,0
200,12,DyMAB-aUCB,29134,105,1
200,12,DyMAB-eGreedy,29151,122,1
200,12,MAPF-LNS2,29347,318,1
200,12,MAPF-LNS,0,0,0
200,12,BALANCE-UCB1,29617,588,0
200,12,BALANCE-Thompson,29773,744,0
200,13,DyMAB-aUCB,30669,238,1
200,13,DyMAB-eGreedy,31208,777,1
200,13,MAPF-LNS2,30532,101,1
200,13,MAPF-LNS,0,0,0
200,13,BALANCE-UCB1,31494,1063,0
200,13,BALANCE-Thompson,31364,933,0
200,14,DyMAB-aUCB,31139,89,1
200,14,DyMAB-eGreedy,31923,873,1
200,14,MAPF-LNS2,31135,85,1
200,14,MAPF-LNS,0,0,0
200,14,BALANCE-UCB1,32095,1045,0
200,14,BALANCE-Thompson,31811,761,0
200,15,DyMAB-aUCB,30834,167,1
200,15,DyMAB-eGreedy,31473,806,1
200,15,MAPF-LNS2,30860,193,1
200,15,MAPF-LNS,0,0,0
200,15,BALANCE-UCB1,32087,1420,0
200,15,BALANCE-Thompson,31446,779,0
200,16,DyMAB-aUCB,31389,101,1
200,16,DyMAB-eGreedy,31756,468,1
200,16,MAPF-LNS2,31403,115,1
200,16,MAPF-LNS,0,0,0
200,16,BALANCE-UCB1,31988,700,0
200,16,BALANCE-Thompson,32018,730,0
200,17,DyMAB-aUCB,30668,329,1
200,17,DyMAB-eGreedy,30973,634,1
200,17,MAPF-LNS2,30467,128,1
200,17,MAPF-LNS,0,0,0
200,17,BALANCE-UCB1,31061,722,0
200,17,BALANCE-Thompson,30962,623,0
200,18,DyMAB-aUCB,29689,98,1
200,18,DyMAB-eGreedy,29998,407,1
200,18,MAPF-LNS2,29687,96,1
200,18,MAPF-LNS,0,0,0
200,18,BALANCE-UCB1,30225,634,0
200,18,BALANCE-Thompson,30216,625,0
200,19,DyMAB-aUCB,30902,95,1
200,19,DyMAB-eGreedy,31025,218,1
200,19,MAPF-LNS2,30900,93,1
200,19,MAPF-LNS,0,0,0
200,19,BALANCE-UCB1,31207,400,0
200,19,BALANCE-Thompson,31269,462,0
200,1,DyMAB-aUCB,31026,230,1
200,1,DyMAB-eGreedy,31405,609,1
200,1,MAPF-LNS2,31128,332,1
200,1,MAPF-LNS,0,0,0
200,1,BALANCE-UCB1,31767,971,0
200,1,BALANCE-Thompson,31694,898,0
200,20,DyMAB-aUCB,32186,205,1
200,20,DyMAB-eGreedy,32471,490,1
200,20,MAPF-LNS2,32168,187,1
200,20,MAPF-LNS,0,0,0
200,20,BALANCE-UCB1,32570,589,0
200,20,BALANCE-Thompson,32966,985,0
200,21,DyMAB-aUCB,31356,599,1
200,21,DyMAB-eGreedy,31015,258,1
200,21,MAPF-LNS2,31316,559,1
200,21,MAPF-LNS,0,0,0
200,21,BALANCE-UCB1,31479,722,1
200,21,BALANCE-Thompson,31333,576,0
200,22,DyMAB-aUCB,31427,160,1
200,22,DyMAB-eGreedy,32183,916,1
200,22,MAPF-LNS2,31422,155,1
200,22,MAPF-LNS,0,0,0
200,22,BALANCE-UCB1,32302,1035,0
200,22,BALANCE-Thompson,32036,769,0
200,23,DyMAB-aUCB,30239,173,1
200,23,DyMAB-eGreedy,30584,518,1
200,23,MAPF-LNS2,30213,147,1
200,23,MAPF-LNS,0,0,0
200,23,BALANCE-UCB1,30516,450,0
200,23,BALANCE-Thompson,30509,443,0
200,24,DyMAB-aUCB,29096,433,1
200,24,DyMAB-eGreedy,29775,1112,1
200,24,MAPF-LNS2,29500,837,1
200,24,MAPF-LNS,0,0,0
200,24,BALANCE-UCB1,29684,1021,0
200,24,BALANCE-Thompson,29659,996,0
200,25,DyMAB-aUCB,30213,335,1
200,25,DyMAB-eGreedy,30716,838,1
200,25,MAPF-LNS2,30110,232,1
200,25,MAPF-LNS,0,0,0
200,25,BALANCE-UCB1,30813,935,0
200,25,BALANCE-Thompson,30873,995,0
200,2,DyMAB-aUCB,32160,291,1
200,2,DyMAB-eGreedy,32544,675,1
200,2,MAPF-LNS2,32112,243,1
200,2,MAPF-LNS,0,0,0
200,2,BALANCE-UCB1,32508,639,0
200,2,BALANCE-Thompson,32654,785,0
200,3,DyMAB-aUCB,30293,102,1
200,3,DyMAB-eGreedy,30628,437,1
200,3,MAPF-LNS2,30285,94,1
200,3,MAPF-LNS,0,0,0
200,3,BALANCE-UCB1,30587,396,0
200,3,BALANCE-Thompson,30513,322,1
200,4,DyMAB-aUCB,29650,100,1
200,4,DyMAB-eGreedy,29939,389,1
200,4,MAPF-LNS2,29654,104,1
200,4,MAPF-LNS,0,0,0
200,4,BALANCE-UCB1,30170,620,0
200,4,BALANCE-Thompson,29914,364,0
200,5,DyMAB-aUCB,28864,108,1
200,5,DyMAB-eGreedy,29278,522,1
200,5,MAPF-LNS2,28866,110,1
200,5,MAPF-LNS,0,0,0
200,5,BALANCE-UCB1,29842,1086,0
200,5,BALANCE-Thompson,29283,527,0
200,6,DyMAB-aUCB,31602,317,1
200,6,DyMAB-eGreedy,32393,1108,1
200,6,MAPF-LNS2,31586,301,1
200,6,MAPF-LNS,0,0,0
200,6,BALANCE-UCB1,32127,842,0
200,6,BALANCE-Thompson,32142,857,0
200,7,DyMAB-aUCB,31109,505,1
200,7,DyMAB-eGreedy,31749,1145,1
200,7,MAPF-LNS2,30862,258,1
200,7,MAPF-LNS,0,0,0
200,7,BALANCE-UCB1,31709,1105,0
200,7,BALANCE-Thompson,31508,904,0
200,8,DyMAB-aUCB,32450,136,1
200,8,DyMAB-eGreedy,32697,383,1
200,8,MAPF-LNS2,32488,174,1
200,8,MAPF-LNS,0,0,0
200,8,BALANCE-UCB1,33057,743,0
200,8,BALANCE-Thompson,33077,763,0
200,9,DyMAB-aUCB,29626,173,1
200,9,DyMAB-eGreedy,30011,558,1
200,9,MAPF-LNS2,29749,296,1
200,9,MAPF-LNS,0,0,0
200,9,BALANCE-UCB1,30011,558,0
200,9,BALANCE-Thompson,30082,629,0
400,10,DyMAB-aUCB,0,0,0
400,10,DyMAB-eGreedy,0,0,0
400,10,MAPF-LNS2,63420,2388,1
400,10,MAPF-LNS,0,0,0
400,10,BALANCE-UCB1,67285,6253,0
400,10,BALANCE-Thompson,66573,5541,0
400,11,DyMAB-aUCB,65901,2161,1
400,11,DyMAB-eGreedy,68870,5130,1
400,11,MAPF-LNS2,65347,1607,1
400,11,MAPF-LNS,0,0,0
400,11,BALANCE-UCB1,68239,4499,0
400,11,BALANCE-Thompson,69221,5481,0
400,12,DyMAB-aUCB,61120,1047,1
400,12,DyMAB-eGreedy,64468,4395,1
400,12,MAPF-LNS2,60752,679,1
