iteration,heuristic,reward
1,H_rand,0.4125
2,H_sync,1.07692
3,H_sync,0
4,H_rand,0.25
5,H_entr,2.96154
6,H_sync,7.64286
7,H_rand,0
8,H_rand,0
9,H_rand,0.3125
10,H_sync,9.15625
11,H_sync,0
12,H_entr,0
13,H_rand,0
14,H_sync,0
15,H_rand,0
16,H_rand,0.234375
17,H_sync,0
18,H_rand,0
19,H_rand,0
20,H_sync,0
21,H_rand,0
22,H_rand,0
23,H_entr,0
24,H_rand,0
25,H_sync,0
26,H_rand,0
27,H_sync,0
28,H_sync,0.867188
29,H_rand,0.859375
30,H_sync,0
31,H_entr,0.75
32,H_sync,0
33,H_rand,0.695312
34,H_rand,0
35,H_rand,0
36,H_sync,0
37,H_rand,0
38,H_rand,0
39,H_sync,27.1818
40,H_rand,0
41,H_rand,0
42,H_sync,7.6875
43,H_entr,0
44,H_entr,0.5
45,H_sync,0
46,H_sync,0.1
47,H_sync,0
48,H_sync,2.89888
49,H_rand,0
50,H_sync,0.471698
51,H_sync,3.52778
52,H_sync,0
53,H_rand,0.71875
54,H_rand,0
55,H_sync,0
56,H_sync,1.06897
57,H_rand,0
58,H_sync,0
59,H_rand,0
60,H_sync,6.64844
61,H_sync,0
62,H_sync,0
63,H_entr,0
64,H_sync,0
65,H_sync,0
66,H_sync,0
67,H_rand,0
68,H_sync,0
69,H_rand,0
70,H_rand,1.92188
71,H_rand,0
72,H_sync,0.142857
73,H_rand,0
74,H_rand,0.03125
75,H_sync,0
76,H_entr,0
77,H_rand,0
78,H_entr,0
79,H_sync,0
80,H_sync,6.7
81,H_sync,2.59524
82,H_rand,0
83,H_rand,0
84,H_rand,0
85,H_rand,0
86,H_rand,0
87,H_sync,0.0952381
88,H_rand,0
89,H_sync,24
90,H_entr,0
91,H_entr,0
92,H_rand,0
93,H_rand,0
94,H_entr,0
95,H_sync,0
96,H_sync,0
97,H_rand,0
98,H_sync,0
99,H_sync,0
100,H_rand,0
101,H_rand,0
102,H_sync,0
103,H_rand,0
104,H_sync,0.103448
105,H_rand,0
106,H_sync,0
107,H_rand,0
108,H_rand,0
109,H_sync,0
110,H_entr,0
111,H_sync,0
112,H_entr,0
113,H_rand,0
114,H_entr,0
115,H_rand,0
116,H_rand,0
117,H_entr,0.714286
118,H_rand,0
119,H_entr,5.5
120,H_rand,0
121,H_sync,6.81818
122,H_sync,0
123,H_rand,0
124,H_rand,0
125,H_sync,0
126,H_rand,0
127,H_rand,0
128,H_sync,0
129,H_sync,0
130,H_rand,0
131,H_sync,0
132,H_sync,0
133,H_sync,0.625
134,H_sync,0.125
135,H_sync,0
136,H_rand,0
137,H_rand,0
138,H_rand,0.90625
139,H_sync,0
140,H_rand,0
141,H_sync,0
142,H_rand,0
143,H_entr,0
144,H_sync,0.105769
145,H_sync,0
146,H_sync,0.117647
147,H_sync,0
148,H_entr,0
149,H_entr,0
150,H_entr,0
151,H_rand,0.125
152,H_entr,0
153,H_rand,0
154,H_entr,0.333333
155,H_entr,0
156,H_rand,0
157,H_rand,0
158,H_entr,0
159,H_sync,2.83099
160,H_rand,0
161,H_rand,0
162,H_sync,0
163,H_rand,0
164,H_sync,0
165,H_rand,0.8125
166,H_rand,0
167,H_sync,0.34375
168,H_sync,0
169,H_sync,0
170,H_entr,0
171,H_sync,0
172,H_rand,0
173,H_rand,0.96875
174,H_sync,7.75
175,H_sync,0
176,H_rand,0.03125
177,H_sync,0
178,H_rand,0
179,H_sync,0
180,H_rand,0.03125
181,H_sync,0
182,H_rand,0
183,H_rand,0
184,H_rand,0
185,H_rand,0
186,H_sync,1.22222
187,H_rand,0
188,H_sync,0
189,H_rand,0
190,H_rand,0
191,H_entr,0
192,H_rand,0
193,H_rand,0
194,H_rand,0
195,H_rand,0
196,H_rand,0
197,H_rand,0
198,H_rand,0
199,H_rand,0
200,H_rand,0
201,H_rand,0.0625
202,H_sync,0
203,H_rand,0
204,H_sync,0
205,H_rand,0
206,H_rand,0
207,H_rand,0
208,H_rand,0
209,H_sync,0
210,H_sync,0
211,H_sync,0
212,H_sync,0
213,H_rand,0
214,H_entr,0
215,H_entr,0
216,H_rand,0
217,H_rand,0
218,H_rand,0.0625
219,H_entr,0
220,H_sync,9.53659
221,H_entr,0
222,H_sync,0
223,H_rand,0
224,H_rand,0
225,H_entr,0
226,H_entr,0
227,H_rand,0
228,H_entr,0.142857
229,H_entr,0
230,H_sync,0
231,H_rand,0
232,H_sync,0
233,H_sync,0
234,H_sync,0
